topic_id,id,text
shoah_q1,1,מקור 1 – עדות של שמואל קנלר | יהודי יליד גרמניה – זיכרונות מגיל 8 (1933)
shoah_q1,2,"ברחובות ברלין הופיעו דגלים ארוכים עם צלב הקרס, אשר בחלקם השתלשלו מגגות הבתים ועד לקומות התחתונות."
shoah_q1,3,יותר ויותר אזרחים לבשו מדים חומים וצעדו בהפגנות.
shoah_q1,4,"לא אוכל להתכחש לעובדה שכילד אלה היו בעיניי סממנים של עוצמה ושל כוח אשר אמורים להשרות הרגשה של ביטחון הנובע מעוצמת השלטון."
shoah_q1,5,כמעט יכולתי להרגיש רוגע ואולי אף גאווה שאני שותף לעם חזק.
shoah_q1,6,"על יד בית הספר שלי הייתה חנות ממתקים ומדי פעם הספיקו דמי הכיס לקנות בה סוכריות. הן היו עשויות קליפה אדומה עגולה ובתוכה מרציפן לבן שבתוכו צלב קרס שחור. כך הייתי אמור להטביע בי את הנאציזם."
shoah_q1,7,"ברדיו נשמעו נאומים של היטלר בקול צעקני ומאיים, ובקולנוע הוא הופיע ביומנים לפני הסרטים. המונים הריעו לו."
shoah_q1,8,"חברי כיתתי התחילו ללבוש מדים של 'היטלר יוגנד'. אולי בהתחלה אף קינאתי בהם."
shoah_q1,9,מקור 2 – מתוך הספר ״סיפור של גרמני 1914–1933״ | סבסטיאן הפנר (משפטן גרמני שעזב את גרמניה ב-1938)
shoah_q1,10,"הם פוצצו עתה באופן קבוע ובעזרת גדודים מיוחדים את אסֵפות הבחירות של כל שאר המפלגות, רצחו כמעט מדי יום אחד או שניים ממתנגדיהם הפוליטיים."
shoah_q1,11,"ובאחד מפרברי ברלין שרפו כליל, יום בהיר אחד, את ביתה של משפחה סוציאל-דמוקרטית אחת."
shoah_q1,12,"שר הפנים הפרוסי החדש פרסם הוראה מדהימה ולפיה בכל מקרה של תגרה, ובלי לברר מי אשם, על המשטרה להגן על הנאצים ולירות ללא התראה באחרים."
shoah_q1,13,"אך כאמור, כל אלה היו דיווחים בעיתונות. האזרח הרגיל לא ראה ולא שמע בעיניו ובאוזניו הרבה יותר ממה שכבר היה להרגל בשנים האחרונות: מדים חומים ברחובות, מצעדים, קריאות 'הייל' – וחוץ מזה עסקים כרגיל."
shoah_q1,14,"את העובדה שעכשיו, רק בגלל השרפה הקטנה ברייכסטאג, לקחו מהם את מעט החירות האישית המוגנת בחוקה וכן את כבודם כאזרחים – את העובדה הזו הם קיבלו כעֵדר, מתוך ביטול עצמי וכאילו כל זה מחויב המציאות."
